Date,Time,Battery,Status
Dec-05-2020,20:03:15,80%,Discharging
Dec-05-2020,20:33:15,70%,Discharging
Dec-05-2020,21:03:15,70%,Discharging
Dec-05-2020,21:33:15,70%,Discharging
Dec-05-2020,22:03:15,60%,Discharging
Dec-06-2020,1:01:37,50%,Discharging
Dec-06-2020,12:16:17,50%,Discharging
Dec-06-2020,12:46:38,50%,Discharging
Dec-06-2020,13:16:58,40%,Discharging
Dec-06-2020,13:47:18,40%,Discharging
Dec-06-2020,14:17:38,40%,Discharging
Dec-06-2020,14:47:58,40%,Discharging
Dec-06-2020,15:18:19,30%,Discharging
Dec-06-2020,15:48:39,30%,Discharging
Dec-06-2020,16:18:59,20%,Discharging
Dec-06-2020,16:49:20,20%,Discharging
Dec-06-2020,17:19:40,10%,Discharging
Dec-06-2020,17:50:00,10%,Charging
Dec-06-2020,18:20:20,40%,Charging
Dec-06-2020,18:50:41,70%,Charging
Dec-06-2020,19:20:41,90%,Charging
Dec-06-2020,19:33:48,90%,Charging
Dec-06-2020,20:04:09,90%,Discharging
Dec-06-2020,20:34:29,90%,Discharging
Dec-06-2020,21:04:49,80%,Discharging
Dec-06-2020,21:34:49,80%,Discharging
Dec-06-2020,22:04:49,80%,Discharging
Dec-06-2020,22:34:50,70%,Discharging
Dec-06-2020,23:04:50,70%,Discharging
Dec-06-2020,23:34:50,70%,Discharging
Dec-07-2020,0:04:50,60%,Discharging
Dec-07-2020,0:34:50,60%,Discharging
Dec-07-2020,1:04:50,60%,Discharging
Dec-07-2020,8:50:47,60%,Discharging
Dec-07-2020,9:20:49,40%,Discharging
Dec-07-2020,9:51:09,40%,Discharging
Dec-07-2020,10:21:30,40%,Discharging
Dec-07-2020,10:51:50,30%,Discharging
Dec-07-2020,11:22:11,20%,Discharging
Dec-07-2020,11:52:31,20%,Discharging
Dec-07-2020,12:22:52,20%,Discharging
Dec-07-2020,13:31:08,10%,Charging
Dec-07-2020,14:01:29,40%,Charging
Dec-07-2020,14:31:49,70%,Charging
Dec-07-2020,15:04:06,80%,Charging
Dec-07-2020,16:32:42,80%,Discharging
Dec-07-2020,16:33:05,20%,Discharging
Dec-07-2020,16:54:29,80%,Discharging
Dec-07-2020,17:24:29,80%,Discharging
Dec-07-2020,17:57:18,70%,Discharging
Dec-07-2020,18:55:53,70%,Discharging
Dec-07-2020,19:26:14,0%,Discharging
Dec-07-2020,19:56:35,60%,Discharging
Dec-07-2020,20:27:07,0%,Discharging
Dec-07-2020,20:57:28,80%,Charging
Dec-07-2020,21:27:28,90%,Charging
Dec-07-2020,21:57:50,90%,Charging
Dec-07-2020,22:28:13,90%,Discharging
Dec-07-2020,23:39:14,90%,Discharging
Dec-08-2020,0:09:34,80%,Discharging
Dec-08-2020,10:38:21,70%,Discharging
Dec-08-2020,11:08:22,70%,Discharging
Dec-08-2020,11:38:22,60%,Discharging
Dec-08-2020,12:08:22,50%,Discharging
Dec-08-2020,12:38:43,50%,Discharging
Dec-08-2020,13:18:38,40%,Discharging
Dec-08-2020,13:48:59,40%,Discharging
Dec-08-2020,14:19:19,40%,Discharging
Dec-08-2020,14:49:39,30%,Discharging
Dec-08-2020,17:06:39,20%,Discharging
Dec-08-2020,17:37:00,10%,Discharging
Dec-08-2020,18:07:20,10%,Discharging
Dec-08-2020,18:37:41,5%,Charging
Dec-08-2020,19:08:02,30%,Charging
Dec-08-2020,20:14:51,80%,Charging
Dec-08-2020,20:44:51,90%,Charging
Dec-08-2020,21:15:12,90%,Discharging
Dec-08-2020,21:49:31,80%,Discharging
Dec-08-2020,22:19:31,80%,Discharging
Dec-08-2020,22:49:32,80%,Discharging
Dec-08-2020,23:19:32,80%,Discharging
Dec-08-2020,23:49:32,80%,Discharging
Dec-09-2020,0:19:33,70%,Discharging
Dec-09-2020,0:49:33,70%,Discharging
Dec-11-2020,21:44:27,60%,Discharging
Dec-11-2020,22:14:27,50%,Discharging
Dec-11-2020,22:44:49,50%,Discharging
Dec-12-2020,0:00:12,50%,Discharging
Dec-12-2020,11:01:53,50%,Discharging
Dec-12-2020,11:32:13,50%,Discharging
Dec-12-2020,12:02:34,40%,Discharging
Dec-12-2020,12:32:54,40%,Discharging
Dec-12-2020,13:03:14,40%,Discharging
Dec-12-2020,13:33:35,40%,Discharging
Dec-12-2020,14:03:55,60%,Charging
Dec-12-2020,17:53:09,90%,Charging
Dec-12-2020,18:23:30,90%,Discharging
Dec-12-2020,18:53:50,90%,Discharging
Dec-12-2020,19:24:11,90%,Discharging
Dec-12-2020,19:54:31,90%,Discharging
Dec-12-2020,20:24:51,80%,Discharging
Dec-12-2020,21:55:51,80%,Discharging
Dec-12-2020,22:25:51,80%,Discharging
Dec-13-2020,10:47:39,70%,Discharging
Dec-13-2020,11:19:03,70%,Discharging
Dec-13-2020,11:49:03,60%,Discharging
Dec-13-2020,12:19:03,60%,Discharging
Dec-13-2020,12:49:03,60%,Discharging
Dec-13-2020,13:19:04,50%,Discharging
Dec-13-2020,13:49:24,50%,Discharging
Dec-13-2020,14:19:44,50%,Discharging
Dec-13-2020,14:50:05,40%,Discharging
Dec-13-2020,15:20:25,30%,Discharging
Dec-13-2020,15:50:45,30%,Discharging
Dec-13-2020,16:21:05,30%,Discharging
Dec-13-2020,16:51:26,30%,Discharging
Dec-13-2020,17:21:46,30%,Discharging
Dec-13-2020,17:52:06,20%,Discharging
Dec-13-2020,18:22:26,20%,Discharging
Dec-13-2020,18:52:47,20%,Discharging
Dec-13-2020,20:00:17,5%,Discharging
Dec-13-2020,20:13:05,10%,Charging
Dec-13-2020,20:29:08,20%,Charging
Dec-13-2020,20:41:42,30%,Charging
Dec-14-2020,14:32:47,40%,Discharging
Dec-14-2020,15:03:07,40%,Discharging
Dec-14-2020,15:33:28,30%,Discharging
Dec-14-2020,16:03:49,20%,Discharging
Dec-14-2020,17:04:35,20%,Discharging
Dec-14-2020,17:34:56,10%,Discharging
Dec-14-2020,18:20:48,30%,Charging
Dec-15-2020,08:56:11,90%,Discharging
Dec-15-2020,08:57:33,90%,Discharging
Dec-15-2020,08:57:39,90%,Discharging
Dec-15-2020,08:59:13,90%,Discharging
Dec-15-2020,09:04:01,90%,Discharging
Dec-15-2020,09:04:34,90%,Discharging
Dec-15-2020,09:34:55,90%,Discharging
Dec-15-2020,10:05:16,80%,Discharging
Dec-15-2020,10:35:16,80%,Discharging
Dec-15-2020,11:23:34,70%,Discharging
Dec-15-2020,11:53:34,70%,Discharging
Dec-15-2020,12:23:34,60%,Discharging
Dec-15-2020,12:53:35,60%,Discharging
Dec-15-2020,13:23:35,60%,Discharging
Dec-15-2020,13:53:36,50%,Discharging
Dec-15-2020,14:23:56,50%,Discharging
Dec-15-2020,14:54:17,40%,Discharging
Dec-15-2020,15:24:38,40%,Discharging
Dec-15-2020,17:39:17,20%,Discharging
Dec-15-2020,18:09:37,20%,Discharging
Dec-15-2020,18:39:58,20%,Discharging
Dec-15-2020,19:10:18,20%,Discharging
Dec-15-2020,19:40:39,10%,Discharging
Dec-15-2020,20:11:00,5%,Discharging
Dec-15-2020,20:41:20,20%,Charging
Dec-15-2020,21:11:41,50%,Charging
Dec-15-2020,21:42:01,80%,Charging
Dec-15-2020,22:12:02,90%,Charging
Dec-16-2020,08:42:02,90%,Discharging
Dec-16-2020,08:54:53,90%,Discharging
Dec-16-2020,09:25:14,80%,Discharging
Dec-16-2020,09:55:14,80%,Discharging
Dec-16-2020,10:25:15,70%,Discharging
Dec-16-2020,10:55:15,60%,Discharging
Dec-16-2020,11:25:16,60%,Discharging
Dec-16-2020,11:55:16,50%,Discharging
Dec-16-2020,12:25:37,50%,Discharging
Dec-16-2020,12:55:58,50%,Discharging
Dec-16-2020,13:26:18,40%,Discharging
Dec-16-2020,13:56:39,40%,Discharging
Dec-16-2020,14:29:21,30%,Discharging
Dec-16-2020,15:06:37,30%,Discharging
Dec-16-2020,18:20:52,30%,Charging
Dec-16-2020,18:34:48,40%,Charging
Dec-16-2020,19:02:00,70%,Charging
